Date,Open,High,Low,Close,Adj Close,Volume,ma1,ma2,ma3,ma5,ma9,ma10,ma20,ma1x2,ma1x3,ma1x5,ma1x9,ma1x10,ma1x20,ma2x3,ma2x5,ma2x9,ma2x10,ma2x20,ma3x5,ma3x9,ma3x10,ma3x20,ma5x9,ma5x10,ma5x20,ma9x10,ma9x20,ma10x20,updown,updowns_percents
1999-02-22,1.7708333730697632,1.7916666269302368,1.65625,1.75,1.6099289655685425,5131200.0,1.75,1.7447916865348816,1.7239583333333333,1.715625,1.6678240829043918,1.6604166746139526,1.6440104246139526,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.005988000972816376
1999-02-23,1.7916666269302368,1.8697916269302368,1.6875,1.8333333730697632,1.68659245967865,3452400.0,1.8333333730697632,1.7916666865348816,1.7743055820465088,1.7322916746139527,1.7013889021343656,1.6843750119209289,1.6450520932674408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.047619070325578994
1999-02-24,2.1041667461395264,2.1875,1.9322916269302368,1.9791666269302368,1.8207533359527588,15319200.0,1.9791666269302368,1.90625,1.8541666666666667,1.796875,1.7528935273488362,1.7291666746139527,1.6604166746139526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07954540947252164
1999-02-25,2.0625,2.125,1.8854166269302368,1.9166666269302368,1.7632561922073364,3728400.0,1.9166666269302368,1.9479166269302368,1.9097222089767456,1.84375,1.7829861111111112,1.7692708373069763,1.6729166746139525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.031578948002442764
1999-02-26,1.9375,2.0,1.8125,1.828125,1.6818008422851562,4315200.0,1.828125,1.8723958134651184,1.907986084620158,1.8614583253860473,1.7928240696589153,1.7875,1.6812500059604645,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.0461956323995929
1999-03-01,1.875,1.9166666269302368,1.75,1.8385416269302368,1.691383957862854,2304000.0,1.8385416269302368,1.8333333134651184,1.861111084620158,1.8791666507720948,1.8026620282067194,1.7973958253860474,1.6940104186534881,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.005697983961838959
1999-03-02,1.8333333730697632,1.84375,1.7916666269302368,1.8229166269302368,1.6770095825195312,1381200.0,1.8229166269302368,1.8307291269302368,1.829861084620158,1.8770833015441895,1.8211805423100789,1.804687488079071,1.7044270813465119,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.008498583753085098
1999-03-03,1.8333333730697632,1.8333333730697632,1.6875,1.6979166269302368,1.5620143413543701,1534800.0,1.6979166269302368,1.7604166269302368,1.7864582935969036,1.8208333015441895,1.82291665342119,1.8088541507720948,1.7148437440395354,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,-1,-0.06857143006616717
1999-03-04,1.78125,1.7916666269302368,1.6458333730697632,1.6614583730697632,1.5284745693206787,1434000.0,1.6614583730697632,1.6796875,1.7274305423100789,1.7697916507720948,1.8142360978656344,1.8067708253860473,1.7218749940395355,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-1,-0.02147234633445383
1999-03-05,1.6770833730697632,1.7604166269302368,1.6770833730697632,1.7552083730697632,1.6147205829620361,1969200.0,1.7552083730697632,1.7083333730697632,1.7048611243565877,1.7552083253860473,1.814814805984497,1.8083333253860474,1.7294270813465118,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0564263309388755
1999-03-08,1.7083333730697632,1.8333333730697632,1.6770833730697632,1.78125,1.6386778354644775,1897200.0,1.78125,1.7682291865348816,1.732638915379842,1.74375,1.8090277645323012,1.8114583253860475,1.7359375,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.014836772277180721
1999-03-09,1.7760416269302368,1.8645833730697632,1.7760416269302368,1.8385416269302368,1.691383957862854,3579600.0,1.8385416269302368,1.8098958134651184,1.7916666666666667,1.746875,1.7934027645323012,1.8119791507720948,1.7481770813465118,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0.03216372038188742
